celltype	condition	replicate	n_cells
2	pifq	pifq_rep1	469
2	pifq	pifq_rep2	498
2	pifq	pifq_rep3	480
2	WT	WT_rep1	47
2	WT	WT_rep2	52
2	WT	WT_rep3	48
4	pifq	pifq_rep1	151
4	pifq	pifq_rep2	169
4	pifq	pifq_rep3	152
4	WT	WT_rep1	139
4	WT	WT_rep2	134
4	WT	WT_rep3	130
5	pifq	pifq_rep1	223
5	pifq	pifq_rep2	218
5	pifq	pifq_rep3	211
5	WT	WT_rep1	9
5	WT	WT_rep2	10
5	WT	WT_rep3	9
7	pifq	pifq_rep1	93
7	pifq	pifq_rep2	92
7	pifq	pifq_rep3	81
7	WT	WT_rep1	32
7	WT	WT_rep2	33
7	WT	WT_rep3	35
ENDO1	pifq	pifq_rep1	7
ENDO1	pifq	pifq_rep2	7
ENDO1	pifq	pifq_rep3	11
ENDO1	WT	WT_rep1	16
ENDO1	WT	WT_rep2	18
ENDO1	WT	WT_rep3	19
Epidermis_Cotyledon	pifq	pifq_rep1	318
Epidermis_Cotyledon	pifq	pifq_rep2	353
Epidermis_Cotyledon	pifq	pifq_rep3	329
Epidermis_Cotyledon	WT	WT_rep1	164
Epidermis_Cotyledon	WT	WT_rep2	155
Epidermis_Cotyledon	WT	WT_rep3	145
Epidermis_Hypocotyl_1	pifq	pifq_rep1	327
Epidermis_Hypocotyl_1	pifq	pifq_rep2	366
Epidermis_Hypocotyl_1	pifq	pifq_rep3	341
Epidermis_Hypocotyl_1	WT	WT_rep1	278
Epidermis_Hypocotyl_1	WT	WT_rep2	272
Epidermis_Hypocotyl_1	WT	WT_rep3	255
Epidermis_Hypocotyl_2	pifq	pifq_rep1	11
Epidermis_Hypocotyl_2	pifq	pifq_rep2	14
Epidermis_Hypocotyl_2	pifq	pifq_rep3	7
Epidermis_Hypocotyl_2	WT	WT_rep1	114
Epidermis_Hypocotyl_2	WT	WT_rep2	111
Epidermis_Hypocotyl_2	WT	WT_rep3	109
guard_cell	pifq	pifq_rep1	12
guard_cell	pifq	pifq_rep2	17
guard_cell	pifq	pifq_rep3	15
guard_cell	WT	WT_rep1	3
guard_cell	WT	WT_rep2	1
guard_cell	WT	WT_rep3	1
Mesophyll	pifq	pifq_rep1	128
Mesophyll	pifq	pifq_rep2	121
Mesophyll	pifq	pifq_rep3	106
Mesophyll	WT	WT_rep1	43
Mesophyll	WT	WT_rep2	46
Mesophyll	WT	WT_rep3	45
PHLOEM	pifq	pifq_rep1	26
PHLOEM	pifq	pifq_rep2	29
PHLOEM	pifq	pifq_rep3	21
PHLOEM	WT	WT_rep1	21
PHLOEM	WT	WT_rep2	23
PHLOEM	WT	WT_rep3	28
